subject,condition,block,group,item,word,phoneme,accuracy,raw_rt,means,adjusted_rt,new_rt,new_rt_3_5
28,target2,block4,27,134,rot,o,1,4165,1698.428571,NA,NA,NA
28,target2,block4,28,136,stomp,o,1,5202,1698.428571,NA,NA,NA
28,filler,block4,28,140,meet,meet,1,3795,1698.428571,NA,NA,NA
29,target2,block4,25,123,top,o,0,3006,1339.75,NA,NA,NA
29,target2,block4,28,136,stamp,no,0,3599,1339.75,NA,NA,NA
30,target1,block4,26,126,mouth,th,0,5311,1417.125,NA,NA,NA
30,target1,block4,32,156,mouth,th,1,3269,1417.125,NA,NA,NA
30,target2,block4,32,158,lock,o,1,3301,1417.125,NA,NA,NA
31,target1,block4,25,124,face,s,0,3164,1627.166667,NA,NA,NA
31,filler,block4,25,125,beat,beat,1,3099,1627.166667,NA,NA,NA
31,target1,block4,26,126,mouse,s,1,4972,1627.166667,NA,NA,NA
31,target2,block4,26,128,hat,no,0,6892,1627.166667,NA,NA,NA
31,target1,block4,26,129,forth,th,1,3270,1627.166667,NA,NA,NA
31,filler,block4,27,135,resign,resign,1,3021,1627.166667,NA,NA,NA
31,target2,block4,28,136,stomp,o,1,5176,1627.166667,NA,NA,NA
32,target1,block4,25,124,face,s,0,4458,1005.875,NA,NA,NA
33,target2,block4,27,134,rat,no,0,4652,1050.125,NA,NA,NA
33,target1,block4,29,142,force,s,1,3039,1050.125,NA,NA,NA
34,target1,block4,25,122,sing,s,1,3810,1552.857143,NA,NA,NA
34,target2,block4,25,123,tap,no,1,3195,1552.857143,NA,NA,NA
34,target1,block4,26,126,mouth,th,0,3923,1552.857143,NA,NA,NA
34,target2,block4,26,127,rock,o,1,6873,1552.857143,NA,NA,NA
34,target2,block4,26,128,hot,o,1,9406,1552.857143,NA,NA,NA
34,target1,block4,26,129,forth,th,1,3439,1552.857143,NA,NA,NA
34,target1,block4,27,131,thumb,th,1,3806,1552.857143,NA,NA,NA
34,filler,block4,30,150,dime,dime,1,3746,1552.857143,NA,NA,NA
35,target2,block4,25,121,box,o,0,7672,1039.142857,NA,NA,NA
35,filler,block4,25,125,beat,beat,1,3047,1039.142857,NA,NA,NA
35,target1,block4,27,131,thumb,th,1,4748,1039.142857,NA,NA,NA
35,target2,block4,27,132,lack,no,1,3287,1039.142857,NA,NA,NA
35,target2,block4,27,134,rat,no,0,3920,1039.142857,NA,NA,NA
35,target2,block4,28,136,stomp,o,1,3738,1039.142857,NA,NA,NA
37,target1,block4,25,122,sing,s,1,3899,1411.333333,NA,NA,NA
37,target1,block4,26,126,mouse,s,1,3887,1411.333333,NA,NA,NA
37,target1,block4,26,129,forth,th,1,3252,1411.333333,NA,NA,NA
37,filler,block4,26,130,hall,hall,1,3019,1411.333333,NA,NA,NA
37,target1,block4,27,133,sick,s,1,3225,1411.333333,NA,NA,NA
37,filler,block4,27,135,resign,resign,1,3222,1411.333333,NA,NA,NA
37,target2,block4,28,136,stomp,o,1,3417,1411.333333,NA,NA,NA
37,target1,block4,28,139,thin,th,1,3142,1411.333333,NA,NA,NA
37,target1,block4,30,148,sing,s,0,3158,1411.333333,NA,NA,NA
37,target2,block4,31,153,rat,no,1,3760,1411.333333,NA,NA,NA
37,target1,block4,32,159,some,s,1,3009,1411.333333,NA,NA,NA
35,target2,block3,22,106,map,no,1,2965,938.1428571,2026.857143,2965,2965
23,target1,block4,32,156,mouse,s,0,2973,1082,1891,2973,2973
6,target2,block4,31,152,sacks,no,0,2628,772.125,1855.875,2628,2628
5,target2,block3,22,108,bottle,o,1,2871,1049.875,1821.125,2871,2871
18,target2,block4,27,132,lack,no,1,2956,1136.25,1819.75,2956,2956
8,target2,block4,25,121,backs,no,1,2727,937.875,1789.125,2727,2727
17,target2,block1,4,17,bod,o,1,2859,1082.125,1776.875,2859,2859
5,target2,block4,26,128,hot,o,1,2887,1145.857143,1741.142857,2887,2887
15,target1,block1,4,19,myth,th,1,2989,1257,1732,2989,2989
15,target2,block4,29,141,rack,no,1,2977,1266.75,1710.25,2977,2977
18,filler,block2,13,65,cheek,cheek,1,2746,1047.25,1698.75,2746,2746
23,target2,block4,27,134,rot,o,1,2763,1082,1681,2763,2763
3,target1,block2,14,68,thought,th,0,2873,1206.5,1666.5,2873,2873
1,target1,block1,1,1,thought,th,1,2875,1209.875,1665.125,2875,2875
4,target2,block1,3,13,pat,no,1,2851,1189.875,1661.125,2851,2851
7,target1,block4,27,133,thick,th,0,2943,1287.25,1655.75,2943,2943
15,target2,block2,15,73,bad,no,0,2912,1257,1655,2912,2912
6,target1,block1,7,34,worse,s,1,2932,1278.75,1653.25,2932,2932
7,target1,block1,1,1,thought,th,1,2943,1303.666667,1639.333333,2943,2943
5,target1,block4,29,142,force,s,1,2782,1145.857143,1636.142857,2782,2782
23,target2,block1,3,11,cop,o,1,2990,1364.625,1625.375,2990,2990
23,target1,block3,24,118,pass,s,1,2798,1181.75,1616.25,2798,2798
16,target2,block4,25,123,tap,no,1,2826,1210.5,1615.5,2826,2826
23,filler,block1,1,5,fell,fell,1,2980,1364.625,1615.375,2980,2980
25,target2,block4,32,158,lock,o,1,2672,1058.875,1613.125,2672,2672
26,target2,block4,28,138,sacks,no,1,2755,1144.25,1610.75,2755,2755
15,target1,block3,20,99,worse,s,1,2723,1118.142857,1604.857143,2723,2723
4,target1,block2,9,42,sink,s,1,2793,1189.875,1603.125,2793,2793
20,target1,block2,13,64,growth,th,1,2986,1385.857143,1600.142857,2986,2986
9,target1,block1,7,34,worse,s,1,2967,1371.375,1595.625,2967,2967
37,target2,block4,27,134,rot,o,1,2997,1411.333333,1585.666667,2997,2997
15,target1,block1,3,14,sigh,s,0,2833,1257,1576,2833,2833
13,target2,block1,6,27,bond,o,1,2987,1414,1573,2987,2987
5,target1,block4,25,124,faith,th,1,2716,1145.857143,1570.142857,2716,2716
18,target1,block3,22,109,thought,th,0,2722,1157.25,1564.75,2722,2722
32,target1,block4,26,126,mouse,s,1,2565,1005.875,1559.125,2565,2565
33,target1,block4,29,144,math,th,1,2609,1050.125,1558.875,2609,2609
