subject,condition,block,group,item,word,phoneme,accuracy,raw_rt,means,adjusted_rt,new_rt,new_rt_3_5
36,target1,block1,1,1,thought,th,1,3216,1691.25,NA,NA,NA
36,target1,block1,2,8,worth,th,1,3369,1691.25,NA,NA,NA
36,target2,block1,3,11,cap,no,0,3312,1691.25,NA,NA,NA
36,target1,block1,5,23,pass,s,0,3023,1691.25,NA,NA,NA
36,target1,block1,6,29,myth,th,0,3549,1691.25,NA,NA,NA
37,target1,block1,1,1,thought,th,1,3773,1755.25,NA,NA,NA
37,target1,block1,3,14,sigh,s,0,3242,1755.25,NA,NA,NA
37,target1,block1,4,19,miss,s,0,3375,1755.25,NA,NA,NA
37,target2,block1,5,21,faster,no,0,4255,1755.25,NA,NA,NA
37,target2,block1,5,24,block,o,1,4366,1755.25,NA,NA,NA
3,target1,block2,12,59,sought,s,0,5204,1206.5,NA,NA,NA
4,filler,block2,13,65,cheek,cheek,1,3133,1189.875,NA,NA,NA
9,target1,block2,14,68,sought,s,1,3926,1371.375,NA,NA,NA
10,target1,block2,9,44,path,th,1,6029,1394.875,NA,NA,NA
10,target2,block2,10,47,pot,o,1,6247,1394.875,NA,NA,NA
10,target1,block2,13,62,worse,s,1,3698,1394.875,NA,NA,NA
10,target1,block2,14,68,thought,th,0,3967,1394.875,NA,NA,NA
10,target2,block2,16,77,bottle,o,0,4770,1394.875,NA,NA,NA
13,target1,block2,12,57,miss,s,1,3268,1414,NA,NA,NA
14,filler,block2,12,60,peach,peach,1,4003,1373.5,NA,NA,NA
15,target2,block2,10,47,pot,o,1,4633,1257,NA,NA,NA
15,target2,block2,13,63,bond,o,0,4113,1257,NA,NA,NA
16,target2,block2,9,41,black,no,1,4170,1358,NA,NA,NA
16,target2,block2,12,56,bottle,o,1,6755,1358,NA,NA,NA
16,target1,block2,15,71,path,th,0,NA,1358,NA,NA,NA
18,target2,block2,12,56,bottle,o,1,3392,1047.25,NA,NA,NA
19,target1,block2,11,53,sigh,s,1,3921,1524.75,NA,NA,NA
19,target2,block2,12,56,bottle,o,1,3448,1524.75,NA,NA,NA
20,target1,block2,15,74,sigh,s,0,3182,1385.857143,NA,NA,NA
21,target1,block2,9,44,pass,s,0,4237,1523.428571,NA,NA,NA
23,target1,block2,10,49,worth,th,1,7286,1364.625,NA,NA,NA
